Nummer,Name,Insgesamt,maeannlich,weiblich
14627,Mei�en - Landkreis,247054,121154,125900
14628,S�chsische Schweiz-Osterzgebirge - Landkreis,246818,121361,125457
14713,Leipzig - Stadt,502979,241255,261724
14729,Leipzig - Landkreis,262214,128287,133927
14730,Nordsachsen - Landkreis,201165,99119,102046
15001,Dessau-Ro�lau - Kreisfreie Stadt,86030,41493,44537
15002,Halle (Saale) - Kreisfreie Stadt,229153,108653,120500
15003,Magdeburg - Kreisfreie Stadt,228144,110616,117528
15081,Altmarkkreis Salzwedel,88241,44029,44212
15082,Anhalt-Bitterfeld - Landkreis,172127,83925,88202
15083,B�rde - Landkreis,176048,87374,88674
15084,Burgenlandkreis,189729,92935,96794
15085,Harz - Landkreis,226495,110274,116221
15086,Jerichower Land - Landkreis,93849,46581,47268
15087,Mansfeld-S�dharz - Landkreis,147887,72689,75198
15088,Saalekreis,191681,94414,97267
15089,Salzlandkreis,205458,100092,105366
15090,Stendal - Landkreis,119204,58876,60328
15091,Wittenberg - Landkreis,132994,65065,67929
15101,Dessau - Kreisfreie Stadt,-,-,-
15151,Anhalt-Zerbst - Kreis,-,-,-
15153,Bernburg - Kreis,-,-,-
15154,Bitterfeld - Kreis,-,-,-
15159,K�then - Kreis,-,-,-
15171,Wittenberg - Kreis,-,-,-
15202,Halle (Saale) - Kreisfreie Stadt,-,-,-
15256,Burgenlandkreis,-,-,-
15260,Mansfelder Land - Kreis,-,-,-
15261,Merseburg-Querfurt - Kreis,-,-,-
15265,Saalkreis,-,-,-
15266,Sangerhausen - Kreis,-,-,-
15268,Wei�enfels - Kreis,-,-,-
15303,Magdeburg - Kreisfreie Stadt,-,-,-
15352,Aschersleben-Sta�furt - Kreis,-,-,-
15355,B�rdekreis,-,-,-
15357,Halberstadt - Kreis,-,-,-
15358,Jerichower Land - Kreis,-,-,-
15362,Ohrekreis,-,-,-
15363,Stendal - Kreis,-,-,-
15364,Quedlinburg - Kreis,-,-,-
15367,Sch�nebeck - Kreis,-,-,-
15369,Wernigerode - Kreis,-,-,-
15370,Altmarkkreis Salzwedel - Kreis,-,-,-
16051,Erfurt - krsfr. Stadt,200868,96506,104362
16052,Gera - krsfr. Stadt,96067,45891,50176
16053,Jena - krsfr. Stadt,105739,52091,53648
16054,Suhl - krsfr. Stadt,36960,17859,19101
16055,Weimar - krsfr. Stadt,62764,30097,32667
16056,Eisenach - krsfr. Stadt,41753,20191,21562
16061,Eichsfeld - Kreis,102257,51201,51056
16062,Nordhausen - Kreis,87210,43012,44198
16063,Wartburgkreis,128719,64308,64411
16064,Unstrut-Hainich-Kreis,106122,52297,53825
16065,Kyffh�userkreis,80053,39648,40405
16066,Schmalkalden-Meiningen - Kreis,127622,63554,64068
16067,Gotha - Kreis,136330,67247,69083
16068,S�mmerda - Kreis,71865,35789,36076
16069,Hildburghausen - Kreis,66369,33092,33277
16070,Ilm-Kreis,110361,54949,55412
16071,Weimarer Land - Kreis,82643,40835,41808
16072,Sonneberg - Kreis,58943,28837,30106
16073,Saalfeld-Rudolstadt - Kreis,113267,55467,57800
16074,Saale-Holzland-Kreis,84802,42102,42700
16075,Saale-Orla-Kreis,85806,42203,43603
16076,Greiz - Kreis,105332,51687,53645
16077,Altenburger Land - Kreis,96737,47211,49526
